Datasets\gh-rambox-m.data;4+ levels;High weight variance;Low insertions and deletions;Low weight change
Datasets\gh-ramda-m.data;4+ levels;High weight variance;Spiky insertions and deletions;Low weight change
Datasets\gh-react-autosuggest-m.data;4+ levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\gh-react-dates-m.data;2 or 3 levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\gh-react-dnd-m.data;4+ levels;High weight variance;Spiky insertions and deletions;Low weight change
Datasets\gh-react-m.data;4+ levels;High weight variance;Spiky insertions and deletions;Low weight change
Datasets\gh-react-native-gifted-messenger-m.data;4+ levels;High weight variance;Spiky insertions and deletions;Low weight change
Datasets\gh-react-native-m.data;4+ levels;High weight variance;Spiky insertions and deletions;Low weight change
Datasets\gh-react-native-web-m.data;4+ levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\gh-react-redux-m.data;2 or 3 levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\gh-react-router-m.data;4+ levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\gh-react-sortable-hoc-m.data;2 or 3 levels;High weight variance;Spiky insertions and deletions;Low weight change
Datasets\gh-redux-saga-m.data;4+ levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\gh-reinforcement-learning-m.data;2 or 3 levels;Low weight variance;Spiky insertions and deletions;Low weight change
Datasets\gh-resume.github.com-m.data;2 or 3 levels;High weight variance;Spiky insertions and deletions;Low weight change
Datasets\gh-ReSwift-m.data;4+ levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\gh-reveal.js-m.data;4+ levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\gh-routersploit-m.data;4+ levels;High weight variance;Spiky insertions and deletions;Low weight change
Datasets\gh-RxBinding-m.data;4+ levels;High weight variance;Spiky insertions and deletions;Low weight change
Datasets\gh-RxPermissions-m.data;4+ levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\gh-scrapy-m.data;4+ levels;High weight variance;Spiky insertions and deletions;Low weight change
Datasets\gh-slate-m.data;4+ levels;High weight variance;Spiky insertions and deletions;Low weight change
Datasets\gh-spectacle-m.data;4+ levels;High weight variance;Spiky insertions and deletions;Low weight change
Datasets\gh-standard-m.data;2 or 3 levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\gh-StatusBarUtil-m.data;4+ levels;High weight variance;Spiky insertions and deletions;Low weight change
Datasets\gh-svgo-m.data;2 or 3 levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\gh-swift-algorithm-club-m.data;4+ levels;Low weight variance;Spiky insertions and deletions;Low weight change
Datasets\gh-swift-evolution-m.data;Single level;Low weight variance;Spiky insertions and deletions;Low weight change
Datasets\gh-SwipeDelMenuLayout-m.data;4+ levels;High weight variance;Spiky insertions and deletions;Low weight change
Datasets\gh-Swiper-m.data;4+ levels;High weight variance;Spiky insertions and deletions;Low weight change
Datasets\gh-SwipeRecyclerView-m.data;4+ levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\gh-syncthing-m.data;4+ levels;High weight variance;Spiky insertions and deletions;Low weight change
Datasets\gh-TakePhoto-m.data;4+ levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\gh-tidb-m.data;4+ levels;High weight variance;Spiky insertions and deletions;Low weight change
Datasets\gh-tikv-m.data;4+ levels;High weight variance;Spiky insertions and deletions;Regular weight change
Datasets\gh-traefik-m.data;4+ levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\gh-uBlock-m.data;4+ levels;High weight variance;Spiky insertions and deletions;Low weight change
Datasets\gh-UITableView-FDTemplateLayoutCell-m.data;2 or 3 levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\gh-upterm-m.data;2 or 3 levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\gh-v2ray-core-m.data;4+ levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\gh-vegeta-m.data;2 or 3 levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\gh-victory-m.data;4+ levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\gh-vim-plug-m.data;4+ levels;High weight variance;Spiky insertions and deletions;Low weight change
Datasets\gh-vimium-m.data;2 or 3 levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\gh-vscode-m.data;4+ levels;High weight variance;Spiky insertions and deletions;Low weight change
Datasets\gh-webpack-m.data;4+ levels;High weight variance;Spiky insertions and deletions;Low weight change
